map_name,route_name_training,condition,key,route_name_actual,map.thisRepN,map.thisTrialN,map.thisN,map.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,map2.thisRepN,map2.thisTrialN,map2.thisN,map2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,consent_text.started,consent_text.stopped,consent_key_resp.keys,consent_key_resp.rt,consent_key_resp.started,consent_key_resp.stopped,text_2.started,text_2.stopped,journey_map_2.started,journey_map_2.stopped,routes_training.started,routes_training.stopped,text_3.started,text_3.stopped,training_resp.keys,training_resp.rt,training_resp.started,training_resp.stopped,text_8.started,text_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,journey_map.started,journey_map.stopped,route_actual.started,route_actual.stopped,text_actual.started,text_actual.stopped,response_2.keys,response_2.rt,response_2.started,response_2.stopped,text_7.started,text_7.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,ID (INITIALS and TODAYS DATE),date,expName,psychopyVersion,frameRate,compensated
,,green f2,i,routes_actual/p1_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,0,12,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,235.7850369,None,235.2863379,235.8019721,i,4.1127547,235.7850369,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green f1,i,routes_actual/p3_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,0,13,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,240.56311,None,240.0736764,240.5801931,i,4.0034878,240.56311,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green c,e,routes_actual/p1_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,0,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,245.2274214,None,244.7303721,245.2455237,e,1.7862053,245.2274214,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green c,e,routes_actual/p2_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,0,15,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,247.6754537,None,247.183876,247.6929193,i,1.9794559,247.6754537,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f1,i,routes_actual/p2_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,0,16,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,250.3394052,None,249.8429418,250.3571946,i,1.7555288,250.3394052,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green f1,i,routes_actual/p1_L_red_f2xR_tick_f1.jpg,,,,,,,,,,,,,0,17,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,252.804103,None,252.308688,252.821667,i,1.7438617,252.804103,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green c,e,routes_actual/p1_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,1,0,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,255.2173444,None,254.7304091,255.2349852,e,3.1102183,255.2173444,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green c,i,routes_actual/p1_L_red_f1xR_tick_f1.jpg,,,,,,,,,,,,,1,1,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,258.998161,None,258.5015623,259.0159019,e,1.4241368,258.998161,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green c,e,routes_actual/p3_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,1,2,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,261.0472462,None,260.55452,261.0642357,i,0.8777932,261.0472462,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green f2,i,routes_actual/p2_L_red_f1xR_tick_f2.jpg,,,,,,,,,,,,,1,3,21,7,,,,,,,,,,,,,,,,,,,,,,,,,,,262.5432866,None,262.0516656,262.560201,i,0.987486,262.5432866,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green f1,e,routes_actual/p3_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,1,4,22,16,,,,,,,,,,,,,,,,,,,,,,,,,,,264.1932839,None,263.7076992,264.2109543,i,1.9353891,264.1932839,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,not compensated
,,green c,e,routes_actual/p2_L_tick_f1xR_red_f1.jpg,,,,,,,,,,,,,1,5,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,266.7914579,None,266.2930853,266.8090784,e,4.7106965,266.7914579,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
,,green f1,e,routes_actual/p2_L_tick_f1xR_red_f2.jpg,,,,,,,,,,,,,1,6,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,272.1530998,None,271.6634978,272.1711008,e,2.5898484,272.1530998,None,,,,,,,IB31012020,2020_Jan_31_1720,FOCO (colour),3.2.4,60.02123549,compensated
